Position,Goals,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Hit woodwork,Big chances missed,Clean sheets,Goals conceded,Tackles,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Through balls,Accurate long balls,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides,Appearances
Goalkeeper,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,1783,27.86,0.0,0.0,0.0,234.0,222.0,1.0,34.0,26.0,17.0,28.0,375.0,489.0,2,0,0,0.0,64
Defender,7,0.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,53.0,166.0,214.0,1.0,32.0,208.0,304.0,143.0,3.0,732.0,611.0,709.0,196.0,161.0,215.0,1.0,1.0,18,7125,44.53,28.0,389.0,31.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,125,8.0,160
Defender,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,21.0,0.0,1.0,12.0,32.0,12.0,0.0,63.0,55.0,38.0,12.0,10.0,16.0,0.0,0.0,1,519,32.44,1.0,45.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,9,0.0,16
Defender,3,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,58.0,67.0,1.0,4.0,43.0,175.0,82.0,1.0,173.0,227.0,160.0,11.0,115.0,73.0,0.0,1.0,2,2416,54.91,4.0,1.0,2.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,56,1.0,44
Defender,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,45.0,50.0,1.0,3.0,54.0,170.0,92.0,0.0,192.0,176.0,142.0,19.0,96.0,64.0,0.0,0.0,0,2200,53.66,0.0,3.0,1.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,32,0.0,41
Defender,7,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,26.0,117.0,197.0,2.0,14.0,195.0,531.0,345.0,2.0,455.0,670.0,416.0,26.0,413.0,218.0,0.0,3.0,4,5907,59.67,5.0,45.0,13.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0,117,7.0,99
Defender,6,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,170.0,257.0,1.0,22.0,247.0,537.0,301.0,1.0,735.0,703.0,619.0,93.0,301.0,240.0,1.0,1.0,3,5935,42.7,9.0,210.0,4.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,1,137,2.0,139
Defender,13,6.0,6.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,64.0,173.0,240.0,4.0,59.0,344.0,832.0,443.0,2.0,1042.0,846.0,680.0,80.0,344.0,256.0,1.0,4.0,7,10165,52.4,22.0,67.0,79.0,980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,3,212,5.0,194
Defender,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,86.0,112.0,0.0,11.0,72.0,111.0,68.0,0.0,365.0,284.0,264.0,41.0,97.0,80.0,0.0,1.0,11,3201,41.04,18.0,123.0,3.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,74,16.0,78
Midfielder,33,4.0,4.0,25.0,0.0,1.0,205.0,92.0,7.0,26.0,0.0,0.0,161.0,0.0,58.0,75.0,37.0,13.0,0.0,778.0,625.0,744.0,248.0,28.0,83.0,0.0,2.0,54,11186,60.79,65.0,834.0,121.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,95,83.0,184
Midfielder,3,0.0,3.0,0.0,0.0,0.0,46.0,12.0,1.0,1.0,0.0,0.0,96.0,0.0,10.0,75.0,53.0,22.0,0.0,327.0,276.0,212.0,30.0,32.0,47.0,0.0,0.0,3,2493,39.57,3.0,40.0,4.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,62,0.0,63
Midfielder,1,0.0,1.0,0.0,0.0,0.0,14.0,4.0,1.0,1.0,0.0,0.0,101.0,0.0,3.0,62.0,66.0,29.0,0.0,223.0,218.0,207.0,58.0,29.0,38.0,0.0,0.0,3,1867,34.57,4.0,57.0,2.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,35,1.0,54
Midfielder,0,0.0,0.0,0.0,0.0,0.0,44.0,5.0,0.0,2.0,0.0,0.0,57.0,0.0,22.0,41.0,41.0,15.0,0.0,211.0,109.0,107.0,11.0,18.0,34.0,0.0,0.0,3,2532,53.87,2.0,30.0,4.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,24,2.0,47
Midfielder,1,0.0,1.0,0.0,0.0,0.0,18.0,5.0,0.0,2.0,0.0,0.0,30.0,0.0,4.0,6.0,10.0,4.0,0.0,64.0,75.0,76.0,21.0,9.0,18.0,0.0,0.0,1,398,12.06,1.0,9.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,13,0.0,33
Midfielder,0,0.0,0.0,0.0,0.0,0.0,27.0,9.0,1.0,1.0,0.0,0.0,75.0,0.0,11.0,59.0,58.0,29.0,0.0,284.0,263.0,217.0,47.0,31.0,40.0,0.0,1.0,1,2750,48.25,4.0,21.0,16.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,41,0.0,57
Midfielder,8,0.0,0.0,8.0,0.0,2.0,144.0,41.0,2.0,1.0,0.0,0.0,254.0,0.0,40.0,133.0,208.0,129.0,0.0,885.0,650.0,607.0,69.0,181.0,173.0,0.0,7.0,13,9739,73.78,12.0,274.0,35.0,673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,2,196,2.0,132
Midfielder,1,0.0,0.0,1.0,0.0,0.0,15.0,4.0,1.0,1.0,0.0,0.0,36.0,0.0,5.0,12.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,716,25.57,6.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,22,13.0,28
Midfielder,0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,49.0,0.0,6.0,37.0,14.0,9.0,0.0,163.0,127.0,129.0,30.0,12.0,26.0,0.0,0.0,3,1372,52.77,2.0,71.0,7.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,21,0.0,26
Forward,39,4.0,30.0,5.0,2.0,1.0,204.0,93.0,4.0,31.0,0.0,0.0,92.0,0.0,44.0,30.0,49.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2045,20.66,15.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,127,62.0,99
